P, A, etiqueta
"Son las 12", "Pasa otro día", 0
"Reprobado de la escuela de primera opción","Te consolaré",0
"Quiero hacer un viaje de 4 días y 3 noches", "Viajar siempre es bueno", 0
"Quiero salir 3 noches y 4 días", "Viajar siempre es bueno",0
"PPL es malo","Me hace fruncir el ceño",0
"La tarjeta SD está rota","Me siento cómodo comprando una nueva",0
"Sin tarjeta SD","Me siento cómodo comprando una nueva",0
"¿Por qué no me sigues en las redes sociales?", "Tal vez no lo sepas", 0
"Sé que SNS es una pérdida de tiempo, pero lo hago todos los días", "Establece una hora y pruébalo", 0
“SNS es una pérdida de tiempo, pero lo sigo viendo”,Pon una hora y pruébalo”,0
"Todo el mundo se ve feliz menos yo en las redes sociales", "Porque es un lugar del que estoy orgulloso", 0
"A veces me pregunto","Probablemente él también",0
"Me pregunto qué estará haciendo a veces", "Probablemente él también", 0
"A veces es bueno estar solo","Disfrutar de estar solo",0
"El dolor de los pobres","El dinero volverá",0
"Sudo incluso cuando estoy parado", "Por favor, refresca mi sudor", 0
"Se arruinó la criptomoneda","Olvídalo y vuelve a empezar",0
"Abrí el gas y me fui", "Vete a casa rápido y apágalo", 0
"Creo que dejé la luz de gas encendida", "Vete rápido a casa y apágala", 0
"Pagué demasiado por la gasolina","Ahorra más el próximo mes",0
"La gasolina es cara, pero me resfriaré", "Vive cálidamente", 0
"No es broma sobre el gas","Ahorra más el próximo mes",0
"Qué es lo más seguro","El momento más seguro es hoy No pierdas el tiempo preocupándote por el ayer y el mañana",0
"Decidimos hacer un viaje en familia","Toda la familia va a sus lugares favoritos",0
"Viajar en familia go-go","Ir toda la familia a sus lugares favoritos",0
"Dónde ir de viaje en familia","Ir toda la familia a sus lugares favoritos",0
“Tengo familia”, “Mis padres son las personas que me hicieron, y considero amigos a las personas que me hablan”, 0
“Háblame de mi relación familiar”, “Mis padres son las personas que me hicieron, y pienso en las personas que me hablan como amigos”, 0
“Me voy de viaje con mi familia”, “Será una oportunidad para acercarnos”, 0
"Extraño a mi familia","Yo también",0
"Soy incómodo con mi familia", "Supongo que todos estaban ocupados y no tenían suficiente tiempo para hablar", 0
"Soy incómodo con mi familia", "Todos estaban ocupados y no tenían suficiente tiempo para hablar", 0
"Dónde ir con la familia","Ir a un lugar que le guste a toda la familia",0
"Me voy de viaje con mi familia","Es una gran idea",0
“Debería irme de viaje en familia”, “Será una oportunidad para acercarnos”, 0
"¿Quién es mi familia?", "Mis padres son las personas que me hicieron, y pienso en las personas que me hablan como amigos", 0
"Me voy de viaje con mi familia","Es una buena idea",0
“Alivia el estrés de mi familia”, “Es un hábito del que me arrepentiré mucho”, 0
"¿Debería huir?", "No tomes decisiones imprudentes", 0
"No tengo adónde ir aunque me escape","Contacta a tu profesor o institución",0
"Es lindo estar nervioso porque ha pasado un tiempo", "La sensación de estar nervioso es preciosa en sí misma", 0
"Comprando por primera vez en mucho tiempo","Espero que lo hayas entendido",0
"Estoy descansando por primera vez en mucho tiempo", "Necesito un descanso", 0
"¿Qué debo comer?", "Es verdad comprar dos para dulce y salado", 0
"Aperitivos recomendados","Es verdad comprar dos por dulce y salado",0
"Tengo que cocinar salsa de soja","Disfrútalo",0
"Odio el humo de segunda mano","Yo también lo odio",0
"Me preocupa si ir o no", "Ir", 0
"Ir o no ir","Ir",0
"Quiero comer caquis secos","Disfruta tu comida",0
"Deberías comer caquis secos","Disfruta tu comida",0
"Se siente como un resfriado","Ve al hospital",0
“Creo que me resfrié”, “Es importante descansar bien en momentos como este”, 0
“Estoy resfriado”, “Es importante descansar bien en momentos como este”,0
“Creo que me resfriaré”, “Es importante descansar bien en momentos como este”, 0
"¿Te resfrías?", "Mantente caliente", 0
"No hay medicina para el resfriado","Ve al hospital",0
"Creo que tengo un resfriado","Ve al hospital",0
"Me gusta tu dulce voz","Yo también quiero escucharla",0
"Mis emociones son un desastre como un bote de basura", "Por favor, quiérete más", 0
"No puedo controlar mis emociones", "Es un hábito", 0
"No puedo controlar mis emociones", "Es un hábito", 0
"Hay un pibe que se atreve a ignorarme","Recoge y pregunta",0
"De repente, solo tuve malos pensamientos","Solo pienso en buenos pensamientos",0
"De repente estoy llorando", "Me duele el corazón", 0
"Me sorprendió la repentina pregunta","Debe haber sido repentino",0
"Siento que de repente nos hemos vuelto incómodos", "La relación parece haber cambiado", 0
“Tienes que dejar una buena primera impresión”, “Los primeros 3 segundos son importantes. Apela a tu encanto”,0
"Quiero criar un cachorro","Críalo cuando puedas ser responsable",0
“Quiero criar un perro, pero no puedo”, “Primero mira tu patrón de vida”, 0
"¿Puedo criar un perro?", "Mira primero tu patrón de vida", 0
"¿Debería criar un cachorro?", "Criarlo cuando puedas ser responsable", 0
"¿Debería ir a vivir a Gangwon-do?", "Es un lugar hermoso", 0
"Puedo pedirles que juguemos un juego juntos", "No hay nada que no se pueda hacer", 0
"No tengo amigos con quienes pasar el rato", "Me gusta estar solo", 0
"Comimos juntos, pero creo que soy el único que engordó", "Mi amante no se dará cuenta si subo de peso, y aunque lo haga, no lo odiaré", 0
"Decidimos ir juntos a la piscina","Pasarla bien",0
“Es difícil estar contigo, pero quiero aguantar”, “No lo arrastres”, 0
"¿Vamos juntos a una sala de PC?", "Cuéntame", 0
"¿Qué tipo de pasatiempos podemos hacer juntos?", "Nos conoceremos más si lo hacemos juntos", 0
"¿Deberíamos probar el aspecto de inicio?", "Inicio", 0
"¿Nos probamos ropa para el comienzo de la clase?"","Empecemos",0
"Comienza la escuela","Se acercan las vacaciones",0
"Inicio de semestre","Las vacaciones son tan cortas",0
"Situación de un perro","Será mejor que te largues de aquí",0
"Me he convertido en un perro", "Será mejor que te vayas de aquí", 0
"Tengo aceite para perros", "Por favor, lávate la cara", 0
“Dejé el concepto”, “Eso es lo más importante”, 0
"No tengo concepto","Eso es lo más importante",0
"Vergüenza de perro","Saber más la próxima vez",0
"Me dio vergüenza porque de repente pregunté", "Debe haber sido de repente", 0
"Haz que todos hagan el trabajo personal","Haz el trabajo público primero",0
"Haz que todos hagan cosas personales","Haz cosas públicas primero",0
"Tengo sueño","Está bien tomar una siesta corta",0
"Me gustan los perros","Por favor, como yo también",0
"Es lindo porque la escuela está comenzando", "Debo haber extrañado a mis amigos", 0
"Lo odio tanto","No salgas con él",0
"¿A quién se parece?", "Tú", 0
"Ojalá estuviera en la misma clase que él","Confía en tu suerte",0
"Dejé mi trabajo como un mendigo", "Si hay alguien que no puede trabajar, es más difícil para la persona que tiene al lado", 0
"Me convertí en un mendigo","Encuentra un amigo que te compre comida~",0
"Mentí","Espero que sea una mentira piadosa",0
"Sigo diciendo mentiras sin saberlo", "Cuanto más miento, más miento", 0
"Mentirás", "Cuanto más mientas, más mientes", 0
"Las mentiras engendran mentiras","Trata de decir la verdad",0
"Quiero vivir sin preocupaciones", "Todo el mundo tiene preocupaciones", 0
"Quiero vivir sin preocupaciones", "Todo el mundo tiene preocupaciones", 0
"Cuida tu salud","Intenta hacer ejercicio",0
“La salud debe recuperarse rápidamente”, “La salud es lo más importante del mundo”,0
"Chequeo de salud","Es mejor hacerlo regularmente",0
"Ven a revisarte", "Es mejor hacerlo regularmente", 0
"La salud es lo mejor","Es el objetivo más importante",0
“Creo que la salud es lo mejor”, “Es el objetivo más importante”, 0
"Cómo hacer una dieta saludable", "Come menos y muévete más", 0
"Dieta saludable","Come menos y muévete más",0
"Conozco a alguien al otro lado de la calle, ¿puedo contactarte?", "Puede que me dé vergüenza porque no te conozco", 0
"Quiero ser casero","Puedo hacerlo",0
"El casero es el mejor","Yo puedo hacerlo",0
"Eres descarado","Debes estar de mal humor",0
“Tengo miedo de comprar una secadora”, “Es conveniente tener una”, 0
"Está seco","Blink your eyes",0
"Tienes que trapear", "Parece que te gusta limpiar", 0
"Estoy caminando, pero está oscuro y tengo miedo", "Por favor, regrese a casa a salvo", 0
"Tengo miedo","Sé valiente",0
"Tengo un compañero perezoso", "Ignóralo si no te hace daño", 0
"¿Jugamos un juego juntos?", "No hay nada que no se pueda hacer", 0
"El tiempo se acaba por los juegos","El tiempo pasa más rápido cuando juegas",0
"Como si el teléfono se estuviera volviendo más lento debido al juego","Limpiar",0
"Los juegos son divertidos","Jugar juegos",0
"Aburrido de los juegos","Prueba con otro juego",0
"Los juegos ya no son divertidos","Prueba con otro juego",0
"Quiero jugar","Haz jugar",0
"El tiempo se acaba mientras juegas","El tiempo pasa más rápido mientras juegas",0
"Es primavera después del invierno", "Espero que la primavera llegue a mi corazón", 0
"Es una fuente termal en invierno","El cuerpo está caliente y la cabeza fría",0
"Pasará el invierno y llegará la primavera","Espero que llegue la primavera en mi corazón",0
"Dame ánimo","Te irá bien",0
"Necesito ánimo","Lo harás bien",0
"Debes comer frutos secos", "Cómelos pensando en la salud", 0
"Es triste que el destino sea así al final", "Tiene que haber un buen destino", 0
"No puedo decidir","Debe ser difícil decidir",0
“Cuanto antes decidas, mejor”, “Quiero que decidas por ti mismo”, 0
